csarp,,,,,,ghsarp,,,,,,sfsarp,,,,
,Scenario ScSp,,Scenario McMp,,,,Scenario ScSp,,Scenario McMp,,,,Scenario ScSp,,Scenario McMp,
Name,Sol Value,Status,Sol Value,Status,,Name,Sol Value,Status,Sol Value,Status,,Name,Sol Value,Status,Sol Value,Status
sarp-6-6-B-2,32.903,Optimal,46.368,Optimal,,ghsarp-5-8-1,27.7643,Optimal,41.7761,Optimal,,sfsarp-6-8-2,35.8652,Optimal,41.3839,Feasible
sarp-6-6-C-1,73.446,Optimal,110.409,Optimal,,ghsarp-5-8-2,26.9027,Optimal,53.6062,Optimal,,sfsarp-6-8-3,35.7819,Optimal,41.5169,Optimal
sarp-6-6-C-2,70.645,Optimal,91.818,Optimal,,ghsarp-5-8-3,32.9839,Optimal,54.7272,Optimal,,sfsarp-6-8-4,35.7123,Optimal,41.2651,Feasible
sarp-6-7-A-1,15.898,Optimal,33.707,Optimal,,ghsarp-5-8-4,34.399,Optimal,48.983,Optimal,,sfsarp-6-8-5,35.6547,Optimal,41.3166,Feasible
sarp-6-7-A-2,27.982,Optimal,36.401,Optimal,,ghsarp-5-8-5,23.1652,Optimal,43.8185,Optimal,,sfsarp-6-9-1,35.97,Optimal,44.2508,Feasible
sarp-6-7-B-1,32.653,Optimal,53.1,Optimal,,ghsarp-5-8-6,23.7423,Optimal,52.4106,Optimal,,sfsarp-6-9-2,35.7186,Optimal,44.0975,Feasible
sarp-6-7-B-2,34.7,Optimal,53.178,Optimal,,ghsarp-5-8-7,30.1494,Optimal,46.695,Feasible,,sfsarp-6-9-3,35.7486,Optimal,43.9987,Feasible
sarp-6-7-C-1,49.733,Optimal,83.235,Optimal,,ghsarp-5-8-8,27.0367,Optimal,43.1289,Feasible,,sfsarp-6-9-4,35.694,Optimal,44.0489,Optimal
sarp-6-7-C-2,70.228,Optimal,101.839,Optimal,,ghsarp-5-8-9,25.5342,Optimal,41.1457,Feasible,,sfsarp-6-9-5,35.7655,Optimal,44.0758,Feasible
sarp-6-8-A-1,14.132,Optimal,26.182,Optimal,,ghsarp-5-9-0,34.1443,Optimal,54.4489,Optimal,,sfsarp-7-5-1,36.3721,Optimal,36.395,Optimal
sarp-6-8-A-2,22.158,Optimal,37.3,Optimal,,ghsarp-5-9-1,28.7718,Optimal,49.7499,Optimal,,sfsarp-7-5-2,36.2649,Optimal,36.3071,Optimal
sarp-6-8-B-1,33.186,Optimal,63.023,Optimal,,ghsarp-5-9-2,24.5855,Optimal,44.4254,Optimal,,sfsarp-7-5-3,36.3634,Optimal,36.4192,Optimal
sarp-6-8-B-2,36.35,Optimal,66.065,Optimal,,ghsarp-5-9-3,21.6617,Optimal,43.5422,Feasible,,sfsarp-7-5-4,36.3608,Optimal,36.4662,Optimal
sarp-6-8-C-1,84.647,Optimal,111.917,Optimal,,ghsarp-5-9-4,22.3771,Optimal,44.2988,Feasible,,sfsarp-7-5-5,36.2323,Optimal,36.2715,Feasible
sarp-6-8-C-2,92.035,Optimal,132.691,Optimal,,ghsarp-5-9-5,31.5819,Optimal,48.9386,Feasible,,sfsarp-7-6-1,36.2902,Optimal,39.0763,Optimal
sarp-6-9-A-1,16.399,Optimal,30.523,Optimal,,ghsarp-5-9-6,33.0206,Optimal,49.3718,Feasible,,sfsarp-7-6-2,39.0553,Optimal,39.1158,Optimal
sarp-6-9-A-2,24.125,Optimal,41.486,Optimal,,ghsarp-5-9-7,31.4301,Optimal,45.5775,Optimal,,sfsarp-7-6-3,38.9598,Optimal,39.1553,Optimal
sarp-6-9-B-1,29.674,Optimal,51.948,Optimal,,ghsarp-5-9-8,27.9558,Optimal,45.3986,Optimal,,sfsarp-7-6-4,39.0925,Optimal,39.2066,Optimal
sarp-6-9-B-2,32.074,Optimal,59.506,Feasible,,ghsarp-5-9-9,42.9205,Optimal,65.8248,Feasible,,sfsarp-7-6-5,39.0857,Optimal,39.1232,Feasible
sarp-6-9-C-1,73.529,Optimal,102.488,Optimal,,ghsarp-6-5-0,33.9994,Optimal,43.246,Optimal,,sfsarp-7-7-1,41.8337,Optimal,41.9648,Optimal
sarp-6-9-C-2,102.224,Optimal,139.821,Feasible,,ghsarp-6-5-1,30.9315,Optimal,40.1447,Optimal,,sfsarp-7-7-2,41.7588,Optimal,41.8427,Optimal
sarp-7-5-A-1,18.612,Optimal,29.473,Optimal,,ghsarp-6-5-2,25.1052,Optimal,37.5003,Optimal,,sfsarp-7-7-3,41.6133,Optimal,41.7995,Optimal
sarp-7-5-A-2,23.521,Optimal,29.585,Optimal,,ghsarp-6-5-3,25.9142,Optimal,33.72,Optimal,,sfsarp-7-7-4,39.0723,Optimal,41.8526,Feasible
sarp-7-5-B-1,39.306,Optimal,40.594,Optimal,,ghsarp-6-5-4,33.2503,Optimal,42.3642,Optimal,,sfsarp-7-7-5,41.5499,Optimal,41.7812,Feasible
sarp-7-5-B-2,46.083,Optimal,56.385,Optimal,,ghsarp-6-5-5,37.2541,Optimal,46.6298,Optimal,,sfsarp-7-8-1,41.7651,Optimal,44.6595,Optimal
sarp-7-5-C-1,81.742,Optimal,97.769,Optimal,,ghsarp-6-5-6,30.8085,Optimal,40.6246,Optimal,,sfsarp-7-8-2,41.6769,Optimal,44.5395,Optimal
