csarp,,,,,,ghsarp,,,,,,sfsarp,,,,
,Scenario ScSp,,Scenario McMp,,,,Scenario ScSp,,Scenario McMp,,,,Scenario ScSp,,Scenario McMp,
Name,Sol Value,Status,Sol Value,Status,,Name,Sol Value,Status,Sol Value,Status,,Name,Sol Value,Status,Sol Value,Status
,,,,,,ghsarp-8-5-2,46.0108,Optimal,56.2596,Optimal,,,,,,
,,,,,,ghsarp-8-5-3,38.683,Optimal,48.6065,Optimal,,,,,,
,,,,,,ghsarp-8-5-4,48.1627,Optimal,50.1306,Optimal,,,,,,
,,,,,,ghsarp-8-5-5,37.638,Optimal,45.1785,Optimal,,,,,,
,,,,,,ghsarp-8-5-6,35.7353,Optimal,43.1956,Optimal,,,,,,
,,,,,,ghsarp-8-5-7,43.0519,Optimal,48.5066,Optimal,,,,,,
,,,,,,ghsarp-8-5-8,39.4558,Optimal,43.1845,Optimal,,,,,,
,,,,,,ghsarp-8-5-9,31.4001,Optimal,35.8437,Optimal,,,,,,
,,,,,,ghsarp-8-6-0,35.635,Optimal,45.0457,Feasible,,,,,,
,,,,,,ghsarp-8-6-1,34.5639,Optimal,43.3361,Optimal,,,,,,
,,,,,,ghsarp-8-6-2,26.1741,Optimal,33.7275,Optimal,,,,,,
,,,,,,ghsarp-8-6-3,31.5008,Optimal,46.4132,Optimal,,,,,,
,,,,,,ghsarp-8-6-4,39.0899,Optimal,48.4023,Optimal,,,,,,
,,,,,,ghsarp-8-6-5,52.8954,Optimal,65.2885,Optimal,,,,,,
,,,,,,ghsarp-8-6-6,34.4323,Optimal,46.4252,Feasible,,,,,,
,,,,,,ghsarp-8-6-7,34.7275,Optimal,44.0615,Optimal,,,,,,
,,,,,,ghsarp-8-6-8,41.176,Optimal,46.6679,Optimal,,,,,,
,,,,,,ghsarp-8-6-9,46.0636,Optimal,62.7453,Feasible,,,,,,
,,,,,,ghsarp-8-7-0,43.0449,Optimal,55.5693,Feasible,,,,,,
,,,,,,ghsarp-8-7-1,56.9338,Optimal,68.4817,Optimal,,,,,,
,,,,,,ghsarp-8-7-2,45.6251,Optimal,56.4872,Optimal,,,,,,
,,,,,,ghsarp-8-7-3,36.3439,Optimal,46.1426,Feasible,,,,,,
,,,,,,ghsarp-8-7-4,38.2705,Optimal,51.6992,Optimal,,,,,,
,,,,,,ghsarp-8-7-5,38.1146,Optimal,58.3474,Feasible,,,,,,
,,,,,,ghsarp-8-7-6,47.3338,Optimal,52.5392,Feasible,,,,,,
,,,,,,ghsarp-8-7-7,52.784,Optimal,59.5305,Optimal,,,,,,
,,,,,,ghsarp-8-7-8,64.4965,Optimal,77.9757,Optimal,,,,,,
,,,,,,ghsarp-8-7-9,38.2856,Optimal,50.8335,Optimal,,,,,,
,,,,,,ghsarp-9-5-0,47.5234,Optimal,49.666,Optimal,,,,,,
,,,,,,ghsarp-9-5-1,31.8119,Optimal,41.172,Optimal,,,,,,
,,,,,,ghsarp-9-5-2,28.8088,Optimal,36.9186,Optimal,,,,,,
,,,,,,ghsarp-9-5-3,38.1731,Optimal,44.3915,Optimal,,,,,,
,,,,,,ghsarp-9-5-4,41.9476,Optimal,48.8768,Optimal,,,,,,
,,,,,,ghsarp-9-5-5,47.2848,Optimal,55.1329,Optimal,,,,,,
,,,,,,ghsarp-9-5-6,42.0107,Optimal,50.2168,Optimal,,,,,,
,,,,,,ghsarp-9-5-7,35.8178,Optimal,44.0919,Optimal,,,,,,
,,,,,,ghsarp-9-5-8,35.5546,Optimal,41.5704,Optimal,,,,,,
,,,,,,ghsarp-9-5-9,48.4374,Optimal,60.8688,Optimal,,,,,,
,,,,,,ghsarp-9-6-0,55.3444,Optimal,58.1826,Optimal,,,,,,
,,,,,,ghsarp-9-6-1,64.4897,Optimal,71.409,Optimal,,,,,,
,,,,,,ghsarp-9-6-2,40.2236,Optimal,53.2113,Optimal,,,,,,
,,,,,,ghsarp-9-6-3,45.1849,Optimal,48.4212,Optimal,,,,,,
,,,,,,ghsarp-9-6-4,43.9413,Optimal,56.5033,Optimal,,,,,,
,,,,,,ghsarp-9-6-5,43.5761,Optimal,59.113,Optimal,,,,,,
,,,,,,ghsarp-9-6-6,49.3781,Optimal,55.1714,Optimal,,,,,,
,,,,,,ghsarp-9-6-7,50.7844,Optimal,59.9486,Optimal,,,,,,
,,,,,,ghsarp-9-6-8,66.9114,Optimal,70.7717,Optimal,,,,,,
,,,,,,ghsarp-9-6-9,40.5767,Optimal,50.1852,Optimal,,,,,,
