csarp,,,,ghsarp,,,,sfsarp,,
,Scenario ScSp,,,,Scenario ScSp,,,,Scenario ScSp,
Name,Sol Value,Status,,Name,Sol Value,Status,,Name,Sol Value,Status
sarp-10-5-A-1,46.056,Optimal,,ghsarp-10-5-0,52.7157,Optimal,,sfsarp-10-5-1,46.1136,Optimal
sarp-10-5-A-2,39.703,Optimal,,ghsarp-10-5-1,63.3054,Optimal,,sfsarp-10-5-2,45.9845,Optimal
sarp-10-5-B-1,59.936,Optimal,,ghsarp-10-5-2,48.7419,Optimal,,sfsarp-10-5-3,46.1041,Optimal
sarp-10-5-B-2,62.946,Optimal,,ghsarp-10-5-3,45.7271,Optimal,,sfsarp-10-5-4,46.125,Optimal
sarp-10-5-C-1,135.246,Optimal,,ghsarp-10-5-4,43.9291,Optimal,,sfsarp-10-5-5,46.1333,Optimal
sarp-10-5-C-2,144.015,Optimal,,ghsarp-10-5-5,56.4508,Optimal,,sfsarp-5-10-1,29.9458,Optimal
sarp-5-10-A-1,29.919,Optimal,,ghsarp-10-5-6,47.3014,Optimal,,sfsarp-5-10-2,30.0162,Optimal
sarp-5-10-A-2,18.8,Optimal,,ghsarp-10-5-7,58.5016,Optimal,,sfsarp-5-10-3,29.9086,Optimal
sarp-5-10-B-1,29.092,Optimal,,ghsarp-10-5-8,65.3706,Optimal,,sfsarp-5-10-4,29.979,Optimal
sarp-5-10-B-2,33.432,Optimal,,ghsarp-10-5-9,45.4974,Optimal,,sfsarp-5-10-5,30.0164,Optimal
sarp-5-10-C-1,63.763,Optimal,,ghsarp-5-10-0,44.5824,Optimal,,sfsarp-5-5-1,29.6607,Optimal
sarp-5-10-C-2,92.446,Optimal,,ghsarp-5-10-1,49.8087,Optimal,,sfsarp-5-5-2,29.8749,Optimal
sarp-5-5-A-1,19.869,Optimal,,ghsarp-5-10-2,31.4347,Optimal,,sfsarp-5-5-3,29.8481,Optimal
sarp-5-5-A-2,19.123,Optimal,,ghsarp-5-10-3,31.1182,Optimal,,sfsarp-5-5-4,29.8238,Optimal
sarp-5-5-B-1,44.214,Optimal,,ghsarp-5-10-4,23.5972,Optimal,,sfsarp-5-5-5,30.0012,Optimal
sarp-5-5-B-2,32.426,Optimal,,ghsarp-5-10-5,38.9183,Optimal,,sfsarp-5-6-1,29.8513,Optimal
sarp-5-5-C-1,84.363,Optimal,,ghsarp-5-10-6,27.8037,Optimal,,sfsarp-5-6-2,29.9181,Optimal
sarp-5-5-C-2,51.794,Optimal,,ghsarp-5-10-7,39.7961,Optimal,,sfsarp-5-6-3,29.8727,Optimal
sarp-5-6-A-1,23.57,Optimal,,ghsarp-5-10-8,45.0912,Optimal,,sfsarp-5-6-4,29.9107,Optimal
sarp-5-6-A-2,37.434,Optimal,,ghsarp-5-10-9,37.5327,Optimal,,sfsarp-5-6-5,29.8698,Optimal
sarp-5-6-B-1,38.849,Optimal,,ghsarp-5-5-0,23.3952,Optimal,,sfsarp-5-7-1,29.9092,Optimal
sarp-5-6-B-2,31.195,Optimal,,ghsarp-5-5-1,30.6884,Optimal,,sfsarp-5-7-2,29.8629,Optimal
sarp-5-6-C-1,82.19,Optimal,,ghsarp-5-5-2,33.1312,Optimal,,sfsarp-5-7-3,29.9405,Optimal
sarp-5-6-C-2,83.577,Optimal,,ghsarp-5-5-3,20.6094,Optimal,,sfsarp-5-7-4,29.9211,Optimal
